art_style,painting,utterance
Impressionism,edgar-degas_village-street,A village of buildings against a dark sunset.
Art_Nouveau_Modern,leon-bakst_le-martyre-de-saint-sebastien-ida-rubinstein-as-st-sebastian-1911,"A woman or man is in ostentatious dress, blues and reds."
Symbolism,henri-fantin-latour_the-muse-richard-wagner-1862,A man at his desk looks up at the naked woman fanning him.
Rococo,william-hogarth_married-to-an-old-maid,a lordly looking man surrounded by people and a dog
Symbolism,mikhail-vrubel_yellow-roses-1894,A rosebush in bloom against a night sky
Post_Impressionism,felix-vallotton_undergrowth-1904,A thin dirt trail cuts through a swath of woods.
Post_Impressionism,maxime-maufra_evening-twilight-on-the-seine,a reflective pond surrounded by a cops of trees beneath a gray sky
Impressionism,nikolay-bogdanov-belsky_bloomy-apple-garden,rows of scraggly trees with white blossoms
Ukiyo_e,utagawa-kuniyoshi_the-poetess-ukon,A woman in an elaborate kimono carrying a cane loses her sunhat on a beach at the base of a mountain.
Fauvism,max-pechstein_the-red-turban-1911,A painting of a surprised looking woman exposing her body with a fruit in hand in colorful part of a room.
Expressionism,lynd-ward_not-detected-272471,heavy black rendition of an angel in battle
Art_Nouveau_Modern,jules-cheret_arlette-dorg-re-1890,A woman dressed in a yellow hat and yellowish dress with a red coat.
Impressionism,alfred-sisley_a-corner-of-the-roches-courtaut-woods-june-1884,A forest of trees and tall green grass.
Romanticism,gustave-dore_the-inferno-canto-12,A man sprawls on a cliffside with two robed men standing below him
Romanticism,john-crome_the-fish-market-boulogne-france-1820,A group of people are huddling around the boats.
Symbolism,theodor-severin-kittelsen_sorgen,A person in black walks all alone out towards the unknown.
Romanticism,lev-lagorio_sinking-the-turkish-steamer-intibach-by-boats-of-ship-grand-duke-constantine-in-the-batumi-raid-1880,A ship is tipping over in the water.
Naive_Art_Primitivism,marc-chagall_clock-1914,A Grandfather type of clock that has a wonky hangy.
Impressionism,cornelis-vreedenburgh_corvershof-nieuw-heerengracht,A large building is in the behind a body of canal like water with boats on it from the view of the other bank.
Cubism,franz-marc_three-horses-1912,A black horse between two red horses on a mountain.
Post_Impressionism,panayiotis-tetsis_the-moon,The moon shines on the dark murkiness of the ocean.
Realism,giovanni-boldini_girl-in-a-black-hat-1890,Portrait of a white lady with red hair that's pulled back under a black hat wearing a top outlined in charcoal with a big bright shiny black ribbon.
Impressionism,paul-cezanne_view-of-auvers-1873-1,Hillside view of a town with black roofs and white and orange walls with surrounded by trees and a wooden fence along the front.
Post_Impressionism,augustus-john_port-de-bouc-1910,A small boat floats in the water near a rolling green hill.
Romanticism,sir-lawrence-alma-tadema_pastimes-in-ancient-egyupe-3-000-years-ago-1863,a scantily clad person dances for a group of people as music plays
Expressionism,martiros-saryan_costume-design-for-the-opera-by-rimsky-korsakov-s-golden-cockerel-1931,"Hey doggy, this food is not for you.  Stop wagging your tail."
Impressionism,konstantin-korovin_paris-by-night,A city street line with trees and sparsely populated with people
Realism,john-singer-sargent_landscape-near-grasse,A white house in the background surrounded by a field of trees.
Realism,odilon-redon_pepper-and-lemon-on-a-white-tablecloth-1901,A lemon and a green bell pepper sitting on a white kitchen towel that has orange stripes at one end
Realism,ilya-repin_the-road-from-montmartre-in-paris-1876,"The picture of an old dusty and ricky road, there aro a couple old and tiny houses and looks empty."
Abstract_Expressionism,jay-defeo_untitled-1979,a compass floating on a field of black red and green
Impressionism,william-merritt-chase_interior-of-the-artist-s-studio-aka-the-tenth-street-studio,A woman in a white gown is sitting in a blue armchair next a black dog who is lying on the floor in a very large decorative room
Realism,arkhip-kuindzhi_oaks,Painting of a summer scene with clumps of green leaved trees spaced around a field of grass and blue sky.
Pop_Art,roy-lichtenstein_artist-s-studio-the-dance-1974(1),A cartoon table with art supplies is in front of a scene of contorted people.
Northern_Renaissance,bernhard-strigel_holy-family,Two women hold children up with some nuns and friars looking on.
Romanticism,gustave-dore_don-quixote-140,"The black and white colour is spectacular and the pose of the people and horses draws a powerful message , the clouds are well details."
Impressionism,guy-rose_study-for-the-cathedral-tours,A pair of tall buildings with some trees covering it
Realism,thomas-eakins_thomas-eakins-and-j-laurie-wallace-1883-1,"Two naked men next to a rowing boat on the shore, facing out to the water"
Expressionism,lucian-freud_naked-portrait-2005,"A painting of a full naked woman laying down on some whithe sheets, she is lying down with the legs open"
Realism,aleksey-savrasov_evening-migration-of-birds-1874,Birds are flocking in the sky. Clouds are reflecting sunlight. The trees still have leaves on it.
Romanticism,theodore-gericault_the-bagpipe-player,"A man in a had and a long coat plays a bagpipe, his dog beside him."
Baroque,jan-steen_family-holiday,Some people are having a huge feast at the table.
Abstract_Expressionism,morris-louis_untitled-d233b-1949,Someone here is having a pretty bad dream I would say.
Impressionism,claude-monet_sunrise-the-sea,"Painting of the sea with a ship on it, there is a little boat close and also some more ships on the background."
Expressionism,clyfford-still_ph-343-1937,A naked and headless human form is holding a black pole.
Realism,camille-corot_pond-at-ville-d-avray-with-leaning-trees-1873,A woman is on her knees leaning over a creek in amongst some trees.
Minimalism,richard-serra_equal-corner-prop-piece-1970,A rood is balanced atop a flat board in a corner of a room.
Art_Nouveau_Modern,nicholas-roerich_stylites-1917,A man with a long goatee is in front of a collection of blue shapes.
Northern_Renaissance,rogier-van-der-weyden_the-last-judgement-1450,Jesus! Mary! The disciples! The world at His feet.
Romanticism,karl-bryullov_portrait-of-catherine-tittoni-1852(1),A portrait of an old lady sitting down wearing a black dress on a dark background.
Realism,mary-cassatt_the-reader-1878,A woman wearing a lace cap with an orange bow is propped up in bed with something in her hands
Realism,boris-kustodiev_portrait-of-stjepan-nikolsky-uncle-of-the-artist-1901,an older gentleman with a white bread sits at the side of a table
Romanticism,henry-raeburn_portrait-of-colonel-francis-james-scott-1,"man in a red uniform, hand on hip, epaulets on shoulders"
High_Renaissance,titian_portrait-of-ippolito-riminaldi,A dark painting showing a young man dressed darkly with a mustache and beard and white collar holding a book.
Pop_Art,mario-schifano_when-i-remember-giacomo-balla-1964,A sketch of the silhouettes of people with a large brown patch in the center.
Impressionism,edgar-degas_a-grecian-dance-1890,Three girls in ballerina dresses are standing on their toes with their arms in the air in front of tall trees
Expressionism,ilka-gedo_kitchen-window-in-puscsin-1976,A piece of clothing is hanging on a window next to some flowers.
Realism,winslow-homer_on-the-fence,A little boy sits on a fence and a little girl tries to climb onto it.
Impressionism,vasile-popescu_marquee-house-painter-s-wife-s-home-1934,A white house with some trees and bushes around the front door.
Baroque,anthony-van-dyck_portrait-of-filippo-cattaneo-son-of-marchesa-elena-grimaldi-1623,a boy in formal clothing stands with a dog sitting behind him
Ukiyo_e,utagawa-kuniyoshi_new-edition-of-the-life-of-a-hundred-generals,A man is running with a long stick in his hands.
Impressionism,william-merritt-chase_on-the-lake-central-park(1),A beautiful day to be by the seashore being served tea.
Romanticism,ferdinand-georg-waldmã¼ller_pfamgasse-in-st-wolfgang-1835,Behind several three story houses lies a mountain.
Art_Nouveau_Modern,nicholas-roerich_vignette-for-book-n-k-roerich-1918-17,"Looks like the king of painting you can find on a cave, seem like a warrior with some things around."
Symbolism,odilon-redon_the-seashell-1912,A pale conch shell lying on a field of red and orange
Color_Field_Painting,leon-berkowitz_cup-7-1975,well blended rainbow of paints on a canvas
Expressionism,egon-schiele_seated-woman-with-her-left-hand-in-her-hair-1914,"A colorful painting of a person in a weird pose, the legas are big looks gross."
Art_Nouveau_Modern,koloman-moser_ver-sacrum-postcard-nr-12-i-secessionausstellung-with-greeting-line-of-the-art-historian-julius-1898,"A woman dances in voluminous clothing. outside the frame, some handwritten notes"
Expressionism,george-bouzianis_gunaikeia-morfh-1937-409,A very blurry man looks to the right with his arms crossed.
Romanticism,jan-matejko_cyril-and-methodius,"two robed men; one holds a book, the other holds a staff topped with a cross"
Impressionism,claude-monet_vetheuil-2,A tiny village at the bottom of a hillside is reflected in a sparkling lake.
Realism,ivan-shishkin_forest-flowers-1873,A bunch of tall flowers and weeds are in front of some dark woods.
Art_Nouveau_Modern,alphonse-mucha_head-of-a-girl-1900,A gold metal sculpture of a women with long hair wearing a crown.
Impressionism,berthe-morisot_the-sewing-lesson-aka-the-artist-s-daughter-julie-with-her-nanny,a woman looks at a dress as a child watches on
Post_Impressionism,vincent-van-gogh_a-house-at-auvers-1890(1),"man carrying a shovel, trees and a house behind him"
Realism,vasily-surikov_self-portrait-against-the-background-of-picture-the-conquest-of-siberia-by-yermak-1894,Portrait of a bearded man in a suit and tie
Expressionism,egon-schiele_procession-1911,Two women are painted in abstract surrounded by brown hued boulder like things.
Impressionism,joaquã­n-sorolla_the-river-la-reina-valsain-1907,A small creek flows along the edge of green pines.
Romanticism,william-turner_venice-the-dogana-and-san-giorgio-maggiore,"A waterway through a city, with boats on the water"
Early_Renaissance,domenico-veneziano_portrait-of-a-young-woman,A side view is seen of a woman wearing a colorfully designed top.
Symbolism,james-tissot_moses-on-the-mountain-during-the-battle-as-in-exodus,"cloudy skies, three men, two men punishing another man, long hair, beards, mountain range, rocks, herbaceous plants, sandals, robes, pointy hats"
Minimalism,paul-brach_the-negative-way-1-1964,A vague circle can be seen on a blue background.
Symbolism,nicholas-roerich_pir-panjal-1925-2,Snow-capped mountains stretch above a jagged landscape dotted with trees.
Rococo,george-morland_the-reckoning,a man is talking a two children in a stable with a horse and three dogs in the background
Realism,thomas-eakins_study-for-the-swimming-hole-1884,A group of young men are skinny dipping in a shallow river
Impressionism,alfred-sisley_two-women-walking-along-the-riverbank-1885,"A panting with a lot of trees, on the background the cloudy blue sky. There is a little path with people walking by."
Abstract_Expressionism,william-congdon_naples-church-1950,A damaged cathedral stands in front of a dirt lot.
Impressionism,giovanni-fattori_frau-martelli-in-castiglioncello-1870,A woman reclines in a chair in a shady wooded area
Expressionism,arturo-souto_objects-in-space-1958,A collection of colorful balloons appear before a night sky.
Art_Nouveau_Modern,raphael-kirchner_geisha-1,Asian women with their hair in buns are holding paper fans.
Romanticism,gustave-dore_don-quixote-89,"throngs of people on a hillside, some dancing, a tower nearby"
Baroque,hendrick-terbrugghen_the-adoration-of-the-magi-1619,Religious people gather to see baby Jesus and give him praise.
Early_Renaissance,domenico-ghirlandaio_ludovica-tornabuoni,"a woman in profile wearing a brocade dress, her hair streaming down her back"
Cubism,pablo-picasso_portrait-of-manuel-pallares-1909,A man with black suit and a huge mustache.
Post_Impressionism,maxime-maufra_passing-through-the-bar-1898,Several black sail boats with red and yellow sails are sailing on rough waters.
Color_Field_Painting,frank-stella_astoria-1958,It looks like old style handwriting practive paper; a mustard yellow sheet with black lines
Naive_Art_Primitivism,jules-lefranc_cafe-maure,A hand is seen holding a cigarette while the other hand carves.
Impressionism,claude-monet_rose-arches-at-giverny,A garden with an archway made of foliage and flowers
Abstract_Expressionism,joan-mitchell_untitled-1961,Various colors are splattered on canvas in random ways.
Realism,ivan-shishkin_cave-in-caves-volcanoes-1879,A cave opening with a huge rock on top of the enterance.
Northern_Renaissance,hans-memling_portrait-of-an-old-woman-1472,A woman is standing very calm with a very tall hat on.
Realism,pyotr-konchalovsky_a-ray-of-sunlight-the-forest-1930,Yellow and green trees in a grassy area
Romanticism,william-shayer_mouth-of-the-old-canal-1842,"A boat on the water, two people on the nearby shore, buildings in the distance"
Expressionism,oskar-kokoschka_the-power-of-music,A person is blowing a horn and holding flowers toward a frightened child.
Early_Renaissance,antonello-da-messina_portrait-of-a-man-1470,A man with red hair is wearing a black hat and a black outfit.
Minimalism,ronald-davis_green-skew-1966,A green board laid  on the floor with a rectangle cut out of it and a light green square above the cutout.
Expressionism,henri-matisse_still-life-with-lemons-1943,A vase of purple flowers on a table surrounded by fruit
Post_Impressionism,pyotr-konchalovsky_rome-circus-of-nero-1924,A gold colored large building with a similar colored fence around it on a street with people in front.
Abstract_Expressionism,jean-paul-riopelle_triptyque-orange,"chaotic splotches of black, the center on a yellow background, the two sides on green backgrounds"
Abstract_Expressionism,conrad-marca-relli_f-s-6-59-1959,"an amorphous series of shapes and patterns, brightly colored"
Art_Nouveau_Modern,koloman-moser_poster-of-five-art-exhibition-of-the-association-of-austrian-artists-of-secession-1899,A naked woman with long hair and wings.
Expressionism,martiros-saryan_in-the-time-of-leisure-1930,"two women seated outside at a table, a plate of fruit between them"
Realism,camille-corot_recollections-of-mortefontaine,A young woman plays with two children in the forest.
Baroque,jacob-jordaens_lapiths-and-the-centaurs,a throng of semi-clad people engaged in battle
Romanticism,francisco-goya_the-madness-of-fear,people cowering on the ground before a large robed figure
Realism,isaac-levitan_fields-1899-1,A field of grass and some tall trees in the background.
Impressionism,claude-monet_tulip-fields-at-sassenheim-near-leiden-1886,A cottage by a field of flowers and a river.
Baroque,annibale-carracci_st-margaret-1599,"a woman leans against some masonry, holding a book, hand upraised"
Post_Impressionism,le-pho_mother-and-child,A woman is holding a young boy next to a bowl of muffins on a table.
Impressionism,victor-borisov-musatov_in-the-light-of-the-setting-sun-1904,two women walk through a grass clearing with a white building in the distance
Fauvism,georges-braque_antwerp-harbor-1905,Some boats and building have flags around them.
Realism,nicholas-roerich_gryzovo-church-1893,A small building with a tower is alone in the field.
Impressionism,edgar-degas_the-mante-family,"A woman standing behind a girl wearing a ballet outfit and she is fixing her necklace, while another child wearing a red dress stands beside them"
Baroque,peter-paul-rubens_the-fall-of-phaeton,"people, horses, chariots embattled in the sky and falling from the heavens"
Symbolism,nicholas-roerich_milarepa-the-one-who-harkened-1925,A man sits atop a cliff overlooking a vista of blue mountains
Post_Impressionism,edouard-cortes_place-de-la-concorde,People are walking beside a flowing city fountain with a tall thin monument in the distance.
Post_Impressionism,gustave-loiseau_the-quay-at-pont-aven,White buildings line a shore with a boat on the water
Expressionism,ernst-ludwig-kirchner_design-for-the-banquet-hall-in-essen-1933,I see at least six human figures mostly look like female in the painting with different colours painted on them.
Romanticism,gustave-dore_idylls-of-the-king-17,A man's decapitated head lays on the floor in the middle of a crowded room.
Symbolism,nicholas-roerich_path-to-kailas-1932,Blue-grey mountains rest against a soft blue-pink sky.
Post_Impressionism,vincent-van-gogh_child-and-woman-pouring-coffee-1890(1),A woman pours tea from a kettle for a girl seated at the table.
Realism,mykola-yaroshenko_portrait-of-mikhail-yevgrafovich-saltykov-shchedrin-1886,A man with a very long gray beard and large gray overcoat is sitting in a brown chair
Baroque,pietro-da-cortona_ceiling-fresco-in-the-hall-of-saturn-1665,"A ceiling painted with the birth of adam, god reaching out toward him, surrounded by angels"
Realism,vasily-tropinin_portrait-of-elizabeth-ivanovna-naryshkina,A woman with a white collar is staring at the viewer.
Symbolism,viktor-vasnetsov_descent-into-hell-1904,Jesus Christ stands alone while devout worshipers praise him in a tunnel.
Symbolism,konstantin-bogaevsky_frontispiece-1912,"A crumbling archway fringed by foliage, with fallen masonry in the foreground"
Northern_Renaissance,rogier-van-der-weyden_madonna-and-child-6,crowned woman dressed in dark blue nurses a baby.
Mannerism_Late_Renaissance,piero-di-cosimo_crucifixion-of-christ,This painting makes me feel very clam and faithful because it reminds me of Jesus on the crucifix.
Art_Nouveau_Modern,boris-kustodiev_portrait-of-rene-ivanovna-notgaft-1914,A peculiar woman in a black dress poses while sitting in a bright green chair with flowers behind her.
Cubism,oscar-dominguez_femme-l-ecritoire-1943,A superhero helmet sitting on top of some type of shelf.
Expressionism,otto-dix_menschen-in-trummen,A woman with her breasts out talks to another woman while surrounded by ghoulish figures and skeletons.
Symbolism,ferdinand-hodler_the-monk-with-clouds-1911,Wormy white clouds hang in a blue sky above a craggy snowy mountain.
Art_Nouveau_Modern,henri-de-toulouse-lautrec_m-lender-sitting-1895,"A well-dressed woman attends the opera in her beautiful gown and little feather hat, so what if she looks like a skeleton."
Symbolism,jacek-malczewski_eloe-1909,"A beautiful, curvy woman is wearing clothes that look like they're made for a soldier"
Impressionism,pierre-auguste-renoir_still-life-with-fish-1,Fish of different sizes sit in a pile on the ground.
Baroque,canaletto_stonemason-s-yard-1727,"A portrait of a place on an old city, the are looks full of action with people working everywere"
Minimalism,robert-mangold_curved-plane-figure-viii-1995,A semi circular shape with grey and orange blocking and lines and circles drawn on it.
Impressionism,victor-borisov-musatov_two-ladies-1899,Two women wearing long dresses sit on benches in a grassy field.
Expressionism,lucian-freud_resting-on-the-green-chair,A nude woman with very short hair holds her foot in front of her genitalia.
Art_Nouveau_Modern,koloman-moser_standing-youth,A muscular fit man that is nude with his head bowed down while standing.
Realism,klavdy-lebedev_spat-on-the-terrace,Four women in dresses standing on a porch.
Realism,ilya-repin_portrait-of-dante,"A man in a red robe with his face peering out with his eyes looking upward, and a thin mustache."
Northern_Renaissance,albrecht-durer_calvary,sketch of a group of people gathered at the foot of three crosses
Realism,nicholas-roerich_sketch-of-countryside,A snowy hill dotted with bare trees and a human figure in silhouette.
Romanticism,thomas-cole_mount-aetna-from-taormina-1843,A man standing amongst some ruins with rolling green hills and a snow-capped mountain in the background.
Abstract_Expressionism,terry-frost_the-spinster-at-mass-1989,There are multiple arenas with pathways to several blood sport events
Minimalism,andre-pierre-arnal_pochoir-4,Plaids in faded and dark patterns stand next to each other in square forms.
Realism,isaac-levitan_wooded-riverbank-twilight-1892,Trees and tree stumps line an eroded hill with a stream next to it.
Cubism,alekos-kontopoulos_still-life-1956,"An abstract panting made out of different shapes in color blue and gray, there are also some brown and orange colors."
Post_Impressionism,nicolae-darascu_sunflower-field,a colorful floral area beneath a yellow sky with purple and pink tinted clouds.
Impressionism,paul-cezanne_horse-chestnut-trees-in-jas-de-bouffan,There is a french style chateau house set back on a pictureasque landscape with trees and manicured grass.
Art_Nouveau_Modern,franklin-carmichael_waterfalls-on-the-way-into-nellie-lake,A landscape of dark colored hard rock formations with a center glowing white stream of moving water.
Impressionism,pierre-auguste-renoir_melon-and-tomatos-1903,Gourds and apples are displayed in anticipation of the harvest celebration.
Naive_Art_Primitivism,fernand-leger_the-album-circus-1950-19,"A painting in orange white and black of a woman and a dog, they seems to be playing."
Post_Impressionism,vincent-van-gogh_ears-of-wheat-1890(1),The painting makes me feel subdued because of all the green and brown tones of the high grass.
Impressionism,pierre-auguste-renoir_young-girl-slipping-on-her-stockings,"A girl in a pink skirt sits on the floor, putting on a stocking"
Post_Impressionism,paul-cezanne_bather-entering-the-water-1885,A nude man with dark hair is reclining.
Realism,konstantin-bogaevsky_view-of-sudak-s-environs,Many fields and some small trees are below the mountains.
Rococo,dmitry-levitzky_maria-pavlovna,A little girl with a really poofy looking updo is wearing a dress with a lace neckline.
Northern_Renaissance,martin-schongauer_the-flight-into-egypt,A woman and child on the back of a mule or horse are in a grove of trees while a man behind them gets fruit from the tree.
Realism,vincent-van-gogh_still-life-with-scabiosa-and-ranunculus-1886,Three orange roses in bloom in shared space with other blooming flowers.
Impressionism,childe-hassam_mrs-hassam-in-the-garden-1,"woman in long white dress, chair, bushes, many light colored flowers"
Mannerism_Late_Renaissance,tintoretto_portrait-of-a-man,A man with a beard wears a dark coat.
High_Renaissance,michelangelo_tomb-of-giuliano-de-medici-1533,A marble statue with three people. Two of them are reclining at the front  and one is seated behind them. They are on what looks like a part of a building with a desk in front of it..
Symbolism,nicholas-roerich_kangchenjunga-3,A mixture of orange clouds floating over aqua blue skies.
Rococo,jean-honore-fragonard_the-shepherdess-1752,"A colorful young woman rests beneath a tree, her flock of sheep stays nearby as she crafts a flower tiara."
Symbolism,harry-clarke_tales-of-mystery-and-imagination-by-edgar-allan-poe-1923-1,"People in robes, some are waving their arms in the air."
Expressionism,rafael-zabaleta_reapers-in-the-age-and-ceres,An angel looks down while men in shorts speak as a woman leans over and motions towards a box.
Pop_Art,patrick-procktor_myxomatosis-self-portrait-in-a-mirror-1977,A man with short grey hair has a green collar.
Fauvism,mary-fedden_still-life-with-fruit-and-flowers-1988,"Flowers and a piece of round, green fruit rests on a table."
Expressionism,salvador-dali_trajan-on-horseback,A knight with a red cloak and a sword rides a horse.
Impressionism,julian-alden-weir_the-factory-village-1897,A very tall tree with green leaves looms over a village with a factory.
Naive_Art_Primitivism,marc-chagall_morning-tea,Two human figures sit and drink next to a table.
Symbolism,konstantin-somov_summer-landscape,An arched break in a cops of trees on a grassy knoll.
Contemporary_Realism,eric-fischl_a-woman-posessed,A number of dogs surround a person on the ground in front of an old style station wagon. A young school child comes to the rescue.
Realism,isaac-levitan_river-in-the-forest-autumn-at-river-istra-1886,The painting makes me feel like a wondering explorer dude to the river going into the lightly lit waters and trees.
Abstract_Expressionism,henri-matisse_blue-nudes,A blue figure is made to look like it is bending over backwards.
Baroque,esaias-van-de-velde_winter-scene-with-skaters-1615,Adults are holding hockey sticks.  A child pushes another on the ice.  Another child is ice skating.
Impressionism,edgar-degas_gustave-moreau-1868,A man with a beard is sitting on a chair
Romanticism,alexander-orlowski_portrait-of-a-ballet-dancer-l-a-duport-1809,"A character from oliver twist. The appearance of the clothing looks disheveled. The longated neckwear, vest and blazer look dusty and dirty."
Realism,volodymyr-orlovsky_sunset-over-the-river-1890,A small cottage sits on a lush green hillside above a river.
Expressionism,roger-de-la-fresnaye_white-house-at-audierne-1909,Two buildings on top of a hill in the middle of nowhere.
Cubism,juan-gris_harlequin-with-guitar-1919,A seated female figure plays a stringed instrument.
Realism,ivan-shishkin_windmill-in-the-field-1861,"A small windmill out on the vast, grassy plains."
Impressionism,edgar-degas_portrait-of-mary-cassatt,A seated woman leans forward holding cards in her hands.
Realism,vasily-perov_portrait-of-a-i-kridener-born-ivanova-mother-of-the-artist-1876,Portrait of a woman wearing a voluminous black dress and headdress.
Baroque,rembrandt_susanna-and-the-elders-1647,Men torturing a young half-naked woman to get their way
Symbolism,pierre-puvis-de-chavannes_summer,A large group of people spending time outside by the forest.
Rococo,joshua-reynolds_mrs-hale-1766,"A woman is stepping forward with her arm out to the side. She is wearing a white gown and a red flower, and is surrounded by children and adults."
Abstract_Expressionism,sam-francis_violet-yellow-and-white-1958,Blue and yellow splotches in an unfinished painting.
Art_Nouveau_Modern,nicholas-roerich_boyan-1910,"A man seated on a hillside near city walls, wearing red robes and with a box in his lap"
Naive_Art_Primitivism,kateryna-bilokur_dahlias-1940,"Mystical, swirly, flowery and use of lighting. Some flowers appear to have a glow around them. The lighting is more obvious on certain areas of the flowers."
Realism,mykola-yaroshenko_terrorist-1881,A woman in a black hat and dress is standing in the shadows and looking to the side.
Fauvism,charles-lapicque_en-fuite,Very colorful watercolor of a boy in his boat in the middle of a colorful ocean and a colorful sunny sky.
Romanticism,ivan-aivazovsky_sand-pebbles,A boat with a red flag is in the middle of waves.
Color_Field_Painting,ron-gorchov_old-flame-1974,Large red cylinder with two vertical white stripes on
Post_Impressionism,pyotr-konchalovsky_novgorod-detinets-1925,Boats are docked at the shore in an Eastern European town.
Art_Nouveau_Modern,henri-de-toulouse-lautrec_at-star-le-havre-miss-dolly-english-singer-1899,A woman in profile wearing a hat and voluminous attire.
Art_Nouveau_Modern,boris-kustodiev_nobility-assembly-hall-in-st-petersburg-1913,A room in a palace with purple stairs and stage.
Rococo,george-morland_the-press-gang-1790,Some men fighting another man in a boat while a couple watches.
Realism,volodymyr-orlovsky_river,Several trees are growing next to a pond of some sorts.
Impressionism,claude-monet_woman-with-a-parasol-in-the-garden-in-argenteuil,woman with parasol in field with flowers and trees
Symbolism,nicholas-roerich_the-destruction-of-atlantis-1928,"A city made out of stone close to the sea and surrounded by big rocky mountains, the sky is dark and cloudy."
Ukiyo_e,utagawa-kuniyoshi_saito-oniwakamaru,"An Asian person is fighting a battle against what looks to be a gigantic, angry koi fish."
Romanticism,alfred-stevens_portrait-of-a-young-lady-1906,A woman is sitting in a chair reading a book inside a gray room.
Realism,camille-corot_the-monastery-behind-the-trees,A small family resting next to a little pond.
Baroque,canaletto_river-landscape-with-a-column,A man walks past a small white tower in a country setting.
Expressionism,wassily-kandinsky_the-golden-sail-1903,A fishing boat sails away from a shore village in the Far East.
Post_Impressionism,mikhail-nesterov_sasha-1915,The lady is adjusting the cart for her work.
Northern_Renaissance,jan-van-eyck_the-birth-of-john-the-baptist-1422,"A woman is handing a baby to a woman sitting in bed, two more women, a child and two cats are also in the room"
Impressionism,john-lavery_evelyn-farquhar-1906,The daughter of an aristocrat is posing in her lacey dress before venturing out. She seems uncomfortable.
Symbolism,theodor-severin-kittelsen_lysalver-fanger-skyggetussen(1),Three fairies holding onto a ghostly troll or leprechaun trying to stop it from escaping.
Realism,isaac-levitan_edge-of-forest,Trees of varying heights stand in the forest.
Rococo,giovanni-domenico-tiepolo_lamentation-at-the-foot-of-the-cross-1760,We are witnessing the crucifixion of Christ and agony of the populace.
Abstract_Expressionism,willem-de-kooning_suburb-in-havana,Bright yellow streaks among brown streaks are under a dark blue area.
Baroque,bernardo-strozzi_the-abduction-of-europa,a woman riding a cow is surrounded by angels and followed by a group of women.
Expressionism,august-macke_self-portrait,"A young man with black hair brown eyes, wearing dark clothes with a white collar."
Romanticism,john-atkinson-grimshaw_moonlight-on-the-lake-roundhay-park-leeds,"Some tree trunks, water, fence, mountians and grey-green darkness"
Symbolism,konstantin-bogaevsky_mountain-landscape-1,a light explodes over cliffs of rock into a valley of water and trees
Art_Nouveau_Modern,koloman-moser_design-for-the-austrian-jubilee-stamp-with-view-of-the-vienna-hofburg-1908,Looks like a building in either France or Italy possibly with a water fountain in front of it.
Naive_Art_Primitivism,miriam-schapiro_punch-and-judy-our-demons,many figures in active poses with splash's of yellows and reds thrown on it chaotically
Expressionism,walter-battiss_trees,Mushrooms. Amanita Muscaria is poisonous. Not sure about the others.
Northern_Renaissance,pieter-bruegel-the-elder_the-parable-of-the-sower-1557,Homes dot a hilly landscape above a body of water.
Romanticism,francisco-goya_the-wedding-1792,A small crowd of men and women watch a child pose on a wooden wagon.
Romanticism,karl-bryullov_portrait-of-princess-z-a-volkonskaya,A very beautiful woman is wearing a turbanlike headdress and a black fur coat.
Cubism,jacques-villon_yvonne-d-in-profile-yvonne-d-de-profil-1913,A human figure wearing a cape is seated and surrounded by geometric shapes.
Baroque,rembrandt_tobit-and-anna-with-a-goat-1645,"A woman and man are speaking in a dimly lit room around a firepit located in the center of the floor, A goat stands in the background staring at them."
Baroque,francesco-solimena_battle-between-lapiths-and-centaurs-1740,A fight with many people happens in front of  large building.
Baroque,anthony-van-dyck_the-lamentation-of-christ,Concerned people are speaking over a sleeping Jesus.
Realism,john-singer-sargent_a-study-of-architecture-florence,Concrete columns are shown with the sun shining through.
Symbolism,nicholas-roerich_sketch-for-tale-of-tsar-saltan-1919-1,"A handrawing of some sort of mandala, looks a bit weird and not really neat."
Impressionism,mary-cassatt_portrait-of-margaret-milligan-sloan-no-2-1893,A young girl with blond hair held back by a red ribbons wears a full light blue dress with a large white collar and white cuffs on her sleeves as she sits in front of a wooden dresser holding an orange in her hands.
Post_Impressionism,maxime-maufra_the-leguenay-bridge-1894,A water bridge with circular crossways sits atop a river.
Analytical_Cubism,pablo-picasso_table-in-a-cafe-bottle-of-pernod-1912,"Cubism, industrial chic, colors are rustic but hip. Signage, advertisements at the local bar, taking in a mid day drink right before heading back to work."
Post_Impressionism,pierre-bonnard_landing-stage,Children are enjoying a beautiful summer day at the pier.
Abstract_Expressionism,paul-jenkins_phenomena-pointed-eas,"A rectangle with brown edges and yellow, red, and cream colored splotches on it."
Realism,pyotr-konchalovsky_village-karzamanovo-the-snow-has-gone-1934,A few people crowd in the snow by a small building and many trees.
Mannerism_Late_Renaissance,paolo-veronese_transfiguration-of-christ-1556,Three men in robes float on clouds with angels above them and people looking in pain beneath them.
Impressionism,willard-metcalf_battery-park-spring,a green park with a beach near. Lots of green with trees. Clear skies.
Early_Renaissance,benozzo-gozzoli_the-dance-of-salome-detail-1462,A woman is dancing in front of men and women by a white table.
Realism,james-mcneill-whistler_harmony-in-red-lamplight,"This lady appears tall, gloomy, plain, and with unappealing clothes and is a drawing of her during the 1800s."
